item_id::string,URI::string
1,http://dbpedia.org/resource/Toy_Story
2,http://dbpedia.org/resource/Jumanji
3,http://dbpedia.org/resource/Grumpier_Old_Men
4,http://dbpedia.org/resource/Waiting_to_Exhale
5,http://dbpedia.org/resource/Father_of_the_Bride_Part_II
6,http://dbpedia.org/resource/Heat_(1995_film)
7,http://dbpedia.org/resource/Sabrina_(1995_film)
8,http://dbpedia.org/resource/Tom_and_Huck
9,http://dbpedia.org/resource/Sudden_Death_(1995_film)
10,http://dbpedia.org/resource/GoldenEye
11,http://dbpedia.org/resource/The_American_President
12,http://dbpedia.org/resource/Dracula:_Dead_and_Loving_It
13,http://dbpedia.org/resource/Balto_(film)
14,http://dbpedia.org/resource/Nixon_(film)
15,http://dbpedia.org/resource/Cutthroat_Island
16,http://dbpedia.org/resource/Casino_(1995_film)
17,http://dbpedia.org/resource/Sense_and_Sensibility_(film)
18,http://dbpedia.org/resource/Four_Rooms
19,http://dbpedia.org/resource/Ace_Ventura:_When_Nature_Calls
20,http://dbpedia.org/resource/Money_Train
21,http://dbpedia.org/resource/Get_Shorty_(film)
22,http://dbpedia.org/resource/Copycat_(film)
23,http://dbpedia.org/resource/Assassins_(1995_film)
24,http://dbpedia.org/resource/Powder_(film)
25,http://dbpedia.org/resource/Leaving_Las_Vegas
26,http://dbpedia.org/resource/Othello_(1995_film)
27,http://dbpedia.org/resource/Now_and_Then_(film)
28,http://dbpedia.org/resource/Persuasion_(1995_film)
29,http://dbpedia.org/resource/The_City_of_Lost_Children
30,http://dbpedia.org/resource/Shanghai_Triad
31,http://dbpedia.org/resource/Dangerous_Minds
32,http://dbpedia.org/resource/12_Monkeys
33,http://dbpedia.org/resource/Wings_of_Courage
34,http://dbpedia.org/resource/Babe_(film)
35,http://dbpedia.org/resource/Carrington_(film)
36,http://dbpedia.org/resource/Dead_Man_Walking_(film)
37,http://dbpedia.org/resource/Across_the_Sea_of_Time
38,http://dbpedia.org/resource/It_Takes_Two_(1995_film)
39,http://dbpedia.org/resource/Clueless
40,"http://dbpedia.org/resource/Cry,_the_Beloved_Country_(1995_film)"
41,http://dbpedia.org/resource/Richard_III_(1995_film)
42,http://dbpedia.org/resource/Dead_Presidents
43,http://dbpedia.org/resource/Restoration_(1995_film)
44,http://dbpedia.org/resource/Mortal_Kombat_(1995_film)
45,http://dbpedia.org/resource/To_Die_For
46,http://dbpedia.org/resource/How_to_Make_an_American_Quilt
47,http://dbpedia.org/resource/Seven_(1995_film)
48,http://dbpedia.org/resource/Pocahontas_(1995_film)
49,http://dbpedia.org/resource/When_Night_Is_Falling
50,http://dbpedia.org/resource/The_Usual_Suspects
52,http://dbpedia.org/resource/Mighty_Aphrodite
53,http://dbpedia.org/resource/Lamerica
54,http://dbpedia.org/resource/The_Big_Green
55,http://dbpedia.org/resource/Georgia_(1995_film)
56,http://dbpedia.org/resource/Kids_of_the_Round_Table
57,http://dbpedia.org/resource/Home_for_the_Holidays_(1995_film)
58,http://dbpedia.org/resource/Il_Postino:_The_Postman
59,http://dbpedia.org/resource/The_Confessional
60,http://dbpedia.org/resource/The_Indian_in_the_Cupboard_(film)
61,http://dbpedia.org/resource/Eye_for_an_Eye_(1996_film)
62,http://dbpedia.org/resource/Mr._Holland%27s_Opus
63,http://dbpedia.org/resource/Don%27t_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood
64,http://dbpedia.org/resource/Two_If_by_Sea
65,http://dbpedia.org/resource/Bio-Dome
66,http://dbpedia.org/resource/Lawnmower_Man_2:_Beyond_Cyberspace
67,http://dbpedia.org/resource/Two_Bits
68,http://dbpedia.org/resource/French_Twist_(film)
69,http://dbpedia.org/resource/Friday_(1995_film)
70,http://dbpedia.org/resource/From_Dusk_till_Dawn
71,http://dbpedia.org/resource/Fair_Game_(1995_film)
72,http://dbpedia.org/resource/Kicking_and_Screaming_(1995_film)
73,http://dbpedia.org/resource/Les_Mis%C3%A9rables_(1995_film)
74,http://dbpedia.org/resource/Bed_of_Roses_(1996_film)
75,http://dbpedia.org/resource/Big_Bully_(film)
76,http://dbpedia.org/resource/Screamers_(1995_film)
78,http://dbpedia.org/resource/The_Crossing_Guard
79,http://dbpedia.org/resource/The_Juror
80,http://dbpedia.org/resource/The_White_Balloon
81,http://dbpedia.org/resource/Things_to_Do_in_Denver_When_You%27re_Dead
82,http://dbpedia.org/resource/Antonia%27s_Line
83,http://dbpedia.org/resource/Once_Upon_a_Time...When_We_Were_Colored
84,http://dbpedia.org/resource/Last_Summer_in_the_Hamptons
85,http://dbpedia.org/resource/Angels_%26_Insects
86,http://dbpedia.org/resource/White_Squall_(film)
87,http://dbpedia.org/resource/Dunston_Checks_In
88,http://dbpedia.org/resource/Black_Sheep_(1996_film)
89,http://dbpedia.org/resource/Nick_of_Time_(film)
90,http://dbpedia.org/resource/The_Journey_of_August_King
